,0.643710407,,,,,,1795913441,,,,8323,33677.31222,,98056.71734
system,total cpu usage,,,,,,memory usage,,,,net/total,,dsk/total,
date/time,usr,sys,idl,wai,hiq,siq,used,buff,cach,free,recv,send,read,writ
2019/10/17 0:33,0.251,0.251,99.497,0,0,0,1803890688,91787264,3340898304,3153346560,2569,1652,0,0
2019/10/17 0:33,0.251,0.251,99.497,0,0,0,1803890688,91787264,3340898304,3153346560,3113,1745,0,0
2019/10/17 0:33,1.504,0.251,97.995,0.251,0,0,1803878400,91787264,3340910592,3153346560,27723,14878,0,237568
2019/10/17 0:33,0.25,0.5,99.25,0,0,0,1803747328,91787264,3340914688,3153473536,3173,1752,0,122880
2019/10/17 0:33,4.282,0.756,94.458,0.504,0,0,1803902976,91787264,3340926976,3153305600,30031,661784,0,221184
2019/10/17 0:33,0.752,0.251,98.997,0,0,0,1803911168,91787264,3340935168,3153289216,7402,13061,0,0
2019/10/17 0:33,0.251,0,99.749,0,0,0,1803911168,91787264,3340935168,3153289216,1490,939,0,0
2019/10/17 0:33,0.5,0.5,99,0,0,0,1803911168,91787264,3340935168,3153289216,5372,4567,0,0
2019/10/17 0:33,0.503,0.251,99.246,0,0,0,1803911168,91787264,3340935168,3153289216,8704,4150,0,221184
2019/10/17 0:33,0.756,0.252,98.489,0.504,0,0,1803935744,91787264,3340943360,3153256448,3884,3103,0,180224
2019/10/17 0:33,0.501,0.251,99.248,0,0,0,1803931648,91787264,3340947456,3153256448,4747,3297,0,0
2019/10/17 0:33,0.251,0.251,99.497,0,0,0,1803931648,91787264,3340947456,3153256448,4390,2016,0,0
2019/10/17 0:33,0.251,0.251,99.497,0,0,0,1803931648,91787264,3340947456,3153256448,3603,4211,0,0
2019/10/17 0:33,0.501,0.251,99.248,0,0,0,1803931648,91787264,3340947456,3153256448,4026,6439,0,40960
2019/10/17 0:33,0.501,0.251,99.248,0,0,0,1803915264,91787264,3340947456,3153272832,4266,2001,0,0
2019/10/17 0:33,0.5,0.25,98.75,0.5,0,0,1803767808,91787264,3340951552,3153416192,2767,1877,0,73728
2019/10/17 0:33,0,0,98.741,1.259,0,0,1803767808,91787264,3340951552,3153416192,3113,1761,0,163840
2019/10/17 0:33,0.748,0.499,98.753,0,0,0,1803767808,91787264,3340951552,3153416192,6093,3129,0,16384
2019/10/17 0:33,0.251,0.251,99.497,0,0,0,1803763712,91787264,3340955648,3153416192,2779,2541,0,49152
2019/10/17 0:33,0.251,0,99.749,0,0,0,1803730944,91787264,3340955648,3153448960,3721,2272,0,0
2019/10/17 0:34,0.501,0.251,99.248,0,0,0,1803730944,91787264,3340955648,3153448960,4798,2039,0,0
2019/10/17 0:34,0.251,0.251,99.499,0,0,0,1803730944,91787264,3340955648,3153448960,2569,1679,0,0
2019/10/17 0:34,0.503,0.251,98.744,0.503,0,0,1803718656,91787264,3340959744,3153457152,4085,2327,0,98304
2019/10/17 0:34,0.251,0.251,99.499,0,0,0,1803710464,91787264,3340959744,3153465344,4200,2030,0,0
2019/10/17 0:34,0.251,0.251,99.499,0,0,0,1803710464,91787264,3340959744,3153465344,2569,1679,0,0
2019/10/17 0:34,1.25,0.5,97.75,0.25,0,0.25,1803694080,91787264,3340959744,3153481728,6294,3204,0,16384
2019/10/17 0:34,0.504,0.252,99.244,0,0,0,1803554816,91787264,3340972032,3153608704,24446,13280,0,212992
2019/10/17 0:34,4.511,0.501,94.486,0.501,0,0,1803845632,91787264,3340976128,3153313792,29343,662147,0,212992
2019/10/17 0:34,0.752,0.251,98.997,0,0,0,1804005376,91787264,3340992512,3153137664,5789,12063,0,0
2019/10/17 0:34,0.251,0.251,99.497,0,0,0,1803980800,91787264,3340992512,3153162240,3121,1265,0,0
2019/10/17 0:34,0.251,0,99.749,0,0,0,1803980800,91787264,3340992512,3153162240,4696,4041,0,0
2019/10/17 0:34,0.75,0.25,99,0,0,0,1803972608,91787264,3341000704,3153162240,7565,4339,0,49152
2019/10/17 0:34,0.5,0.25,98.75,0.5,0,0,1804115968,91787264,3341000704,3153018880,4753,2180,0,32768
